,,,SAN DIONISIO OCOTEPEC,15.77,17.51,16.69,
,,,SAN DIONISIO OCOTLAN,15.77,17.51,16.69,
,,,OCOTLAN DE MORELOS,15.77,17.51,16.69,
,,,SAN PABLO HUIXTEPEC,15.77,17.51,16.69,
,,,MAGDALENA APASCO,15.77,17.51,16.69,
,,,VILLA DE ETLA,15.77,17.51,16.69,
,,,SAN LORENZO CACAOTEPEC,15.77,17.51,16.69,
,,,SAN BARTOLO COYOTEPEC,15.77,17.51,16.69,
,,,SAN PABLO VILLA DE MITLA,15.77,17.51,16.69,
,,,CUILAPAM DE GUERRERO,15.77,17.51,16.69,
,,,OAXACA DE JUAREZ,15.77,17.51,16.69,
,,,SAN ANTONIO DE LA CAL,15.77,17.51,16.69,
,,,SAN FRANCISCO LACHIGOLO,15.77,17.51,16.69,
,,,SAN JACINTO AMILPAS,15.77,17.51,16.69,
,,,SANTA CRUZ XOXOCOTLAN,15.77,17.51,16.69,
,,,SANTA LUCIA DEL CAMINO,15.77,17.51,16.69,
,,,SANTA MARIA DEL TULE,15.77,17.51,16.69,
,,,TEOTITLAN DEL VALLE,15.77,17.51,16.69,
,,,TLACOLULA DE MATAMOROS,15.77,17.51,16.69,
46.0,PACHUCA,TLAXCALA,CALPULALPAN,15.65,17.4,16.59,
,,ESTADO DE MÉXICO,ZUMPANGO,15.65,17.4,16.59,
,,,TEOTIHUACAN,15.65,17.4,16.59,
,,,SAN MARTIN DE LAS PIRAMIDES,15.65,17.4,16.59,
,,,OTUMBA,15.65,17.4,16.59,
,,,AXAPUSCO,15.65,17.4,16.59,
,,,TEMASCALAPA,15.65,17.4,16.59,
,,HIDALGO,ACAXOCHITLAN,15.65,17.4,16.59,
,,,IXMIQUILPAN,15.65,17.4,16.59,
,,,CUAUTEPEC DE HINOJOSA,15.65,17.4,16.59,
,,,APAN,15.65,17.4,16.59,
,,,ALMOLOYA,15.65,17.4,16.59,
,,,EMILIANO ZAPATA,15.65,17.4,16.59,
,,,FRANCISCO I MADERO,15.65,17.4,16.59,
,,,SANTIAGO DE ANAYA,15.65,17.4,16.59,
